name_key,Y_t1,Y_t2,delta_Y,dose,NAME
cle elum roslyn,0.8209601958067799,0.8454029501186295,0.024442754311849613,5378.048780487805,Cle Elum-Roslyn School District
clover park,0.8440566138013178,0.8626954563904485,0.018638842589130733,2397.6909275294483,Clover Park School District
colfax,0.8750815577570195,0.8996773695054929,0.024595811748473473,3888.3333333333335,Colfax School District
columbia stevens,0.64,0.6844444444444444,0.0444444444444444,1572.3270440251572,Columbia (Stevens) School District
columbia walla walla,0.8006377134664467,0.8207536420768645,0.020115928610417777,4936.018957345972,Columbia (Walla Walla) School District
colville,0.8388238738689056,0.8569045011022833,0.018080627233377777,1796.5821389195148,Colville School District
concrete,0.6770148040702756,0.7308803940619258,0.05386558999165025,3384.9056603773583,Concrete School District
coupeville,0.8916005923220679,0.9471610089780809,0.05556041665601297,6200.210748155953,Coupeville School District
crescent,0.6707142857142857,0.73,0.059285714285714275,2356.6176470588234,Crescent School District
darrington,0.8064129023150676,0.8235168858565065,0.01710398354143894,4084.11214953271,Darrington School District
davenport,0.88353246753246,0.9315,0.04796753246754004,3710.7023411371238,Davenport School District
dayton,0.81372727272727,0.7891206853111579,-0.024606587416112102,3739.3483709273182,Dayton School District
deer park,0.884857234871573,0.9285905745527041,0.043733339681131134,2313.6,Deer Park School District
east valley spokane,0.7813037743086046,0.7917312719368512,0.010427497628246574,2714.219438645326,East Valley School District (Spokane)
east valley yakima,0.875906145955735,0.8695105992549665,-0.006395546700768473,2946.1268728084156,East Valley School District (Yakima)
eastmont,0.8477447199597314,0.859213876453476,0.011469156493744581,2727.2422464375522,Eastmont School District
eatonville,0.9237399596098675,0.9342252255293404,0.010485265919472853,3875.897435897436,Eatonville School District
edmonds,0.8307586960505458,0.8502997297124951,0.01954103366194937,6097.331240188383,Edmonds School District
ellensburg,0.8659055005863339,0.8997555233298021,0.03385002274346827,3775.560331593491,Ellensburg School District
elma,0.9235584111602978,0.9173583886400378,-0.0062000225202599735,2717.391304347826,Elma School District
entiat,0.8566666666666666,0.7879876373626362,-0.06867902930403036,3542.2740524781343,Entiat School District
enumclaw,0.8392417440711881,0.8474224380625255,0.008180693991337362,4461.500735654733,Enumclaw School District
ephrata,0.904787100322936,0.9353859287523061,0.030598828429370117,1947.390223695112,Ephrata School District
everett,0.9305907402772962,0.9421581318824911,0.011567391605194932,4824.022486573307,Everett School District
evergreen clark,0.8237389519235631,0.8974253330335844,0.07368638111002135,3139.2658081875843,Evergreen School District (Clark)
federal way,0.8164284620052557,0.8680133790702076,0.05158491706495194,3876.860974868701,Federal Way School District
ferndale,0.7398980277446139,0.8133675092716515,0.07346948152703758,3900.1863739904743,Ferndale School District
fife,0.8516555585290083,0.9224145563919743,0.07075899786296602,3968.039003250271,Fife School District
